,Unnamed: 0,kmeans,nouns
2,2,3, russia news shake world gem markets core discovery vast diamond field trillions carats markets years
18,18,3, years guantanamo man crime twice release dead
85,85,3, don ritchie people suicide gap cliff hundreds people gone commit suicide medal order australia hero today home years
87,87,3, “pirating” uk student extradited outrage home secretary theresa may extradition order today student faces years prison
96,96,3, police child advocates broke padlocks doors surprise sweatshop india find group children christmas decorations children years rooms ft ft work days
102,102,3, silvio berlusconi years jail
103,103,3, state india justice system prison born boy gets job manages mum bail years jail
122,122,3, comet mars hits event sort scale impact dinosaurs extinct years
127,127,3, bahraini court sentences doctors prison years protesters
235,235,3, raped police officer cash quit police officer colleague spent years job – months’ salary quit
251,251,3, portugal years drugs
274,274,3, el salvador saturday day years
288,288,3, mes aynak buddhist statues thousands years looters taliban company set destroy december
354,354,3, moment brazilians decide years people” andy martin reports sao paulo
367,367,3, portugal drug law show results years health experts portugal friday portugal decision years decriminalise drug use treat addicts experiment
376,376,3, world man dies years man born century
380,380,3, north korea sentences citizen years labor
432,432,3, new zealand number facebook users months years olds rate parents
459,459,3, north korea armistice south times years
480,480,3, trump hotel canada investors years building
514,514,3, rogue trader billion loss loss jobs years
518,518,3, north prisoner born labor camp years
524,524,3, message people years lives miyatojima japan ( )
602,602,3, nsa secret group called ‘tao’ that’s been china years
625,625,3, cuba receives shipment years
663,663,3, years prison murder commit romeo phillion launches million lawsuit ontario government
679,679,3, anders brevik years
689,689,3, fijian-born years iraq afghanistan uk citizenship
708,708,3, teacher qatar islam faces years prison teach students tolerant people countries
709,709,3, china new bachelor class percent men population size texas find mate years
710,710,3, women scientology cruise ship years !
714,714,3, mexico drug war dead years
738,738,3, mexico city model citizen years government everything barter markets recyclables arrangements zero emissions bus corridors..
774,774,3, priest woman years return nation churches
814,814,3, parliment passes anti-rape laws provisions allow death penalty minimum sentence gang rape rape minor rape person authority years
820,820,3, man wakes coma years pill
829,829,3, saudi maids get lashes amp years prison witchcraft compassionate sentence crime results death penalty
863,863,3, pirate bay cofounder years prison ‘hacking’
898,898,3, couple pakistani descent years minimum daughter
909,909,3, uk woman men sex years
928,928,3, raped men days sixteen years awaits justice kerala india
931,931,3, government law rapists prison years includes castration
940,940,3, 'hundreds women dozens illnesses age seek abortions britain past years pro-choice charity
956,956,3, years man bookmakers odds roger federer wimbledon times man charity ticket
968,968,3, police officers years jail sunday role inmates brazil’s deadliest prison
1025,1025,3, years bombay gang years silence misconceptions rape fiery essay name experience women’s movement —
1059,1059,3, google years e-mails wikileaks chatroom admin google icelandic activists court order secret search
1112,1112,3, death aids sight trial vaccine offer protection hiv years research south africa week
1191,1191,3, stonehenge years older thought
1198,1198,3, abortion rights campaigner henry morgentaler parents nazis ghetto aushwitz dachau persecuted canada prison years canada abortion laws hero
1257,1257,3, cop faces years jail man street fingers result twelve hours spent subzero temperatures man blood clot hospital
1261,1261,3, years secrecy cause death cosmonaut yuri gagarin
1339,1339,3, explain gmo wheat program years wild
1391,1391,3, queensland woman emergency services makes calls years
1416,1416,3, raped years – tormentors beg police help
1432,1432,3, mother gets years kids starve death osaka
1447,1447,3, afghans u.s troops death america afghan iraqi interpreters risk lives wait years danger visas
1460,1460,3, portugal drug law show results years experts drug use law place
1498,1498,3, baby baldies decades years bald eagles cootes paradise eaglets grace lake ontario decades
1501,1501,3, church england priest guilty catalogue sex attacks children years
1580,1580,3, amsterdam steakhouse boss admits horse years
1602,1602,3, deutsche bank caught spiral lies leaked studies show known years commodity speculation food prices parliament
1657,1657,3, cave paintings mexico groups control years
1668,1668,3, man shot head protest town antakya border defiant erdogan protesters country worst riots years arm arm terrorism
1698,1698,3, years pope francis turkey recognize genocide
1778,1778,3, prime minister silvio berlusconi years jail tax fraud
1783,1783,3, gap rich poor years years oecd group nations richest % society oecd countries times poorest terms income nine times
1784,1784,3, scientists find evidence sumatran rhinos borneo species extinct years
1854,1854,3, years iraq war iran reaps gains american forces gone washington influence nonexistent iran become broker baghdad shiite elite influence continues grow
1860,1860,3, time years american tanks europe
1941,1941,3, genital wart decline australia tracked hpv vaccine incidence warts % adolescent teenage girls years introduction human papillomavirus ( hpv ) vaccine australia
1947,1947,3, ancient city beneath sea years reveal life port thonis-heracleion
1964,1964,3, berlusconi years prison
2014,2014,3, north south korea agree first dialogue years
2094,2094,3, police trucker shootings highways past years
2112,2112,3, teenage soccer players years prison referee death
2214,2214,3, uk report reveals firms hire criminals steal rivals information 'uk police years firms investigators break law interests police nothing disrupt trade
2292,2292,3, move bahrain’s government jail anyone guilty gulf nation’s years attempt crush dissent country hosts formula grand prix week amnesty international
2301,2301,3, ethiopia enlists help forest communities reverse deforestation years projects growth forest cover incomes communities schemes begin
